4D-CT Data Output File,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Time (seconds),Point Data,,,,Line Data,,,,,,,,,,,,,,,,,,,,,,
96.9798,Point,Transformed to Volume,,Coordinates,,Line,P1,P2,Distance,Transformed to Volume,Transformed Distance,Bounds of Polydata,,,,,,,,,,,,,,,
,,,X,Y,Z,,,,,,,Xmin,Ymin,Zmin,Xmax,Ymax,Zmax,,Xmax - Xmin,,,,mean,diff,,,
,1,10,78.808,37.2753,36.51,10,1,10,25.3958,10,26.5928,,52.6792,24.5422,3.52E-07,78.8676,52.2108,37.5,,26.1884,25,,,,,,
,1,11,78.8001,37.2681,36.9287,11,1,11,25.3958,11,26.6593,,52.6839,25.128,-6.50E-07,78.8696,53.0912,37.5,,26.1857,25,,,,,,
,1,12,78.7495,37.9389,36.8404,12,1,12,25.3958,12,26.7295,,52.6736,25.423,1.08E-08,78.8668,53.975,37.5,,26.1932,25,,,,,,
,1,13,78.6876,37.7033,37.1861,13,1,13,25.3958,13,26.7481,,52.6815,25.719,6.02E-07,78.8679,54.5581,37.5,,26.1864,25,,,,,,
,1,14,78.7371,38.4257,37.1674,14,1,14,25.3958,14,26.7633,,52.6754,26.0099,-6.16E-07,78.8676,55.1464,37.5,,26.1922,25,,,,,,
,1,15,78.697,38.6312,37.1394,15,1,15,25.3958,15,26.961,,52.6794,26.3027,5.57E-07,78.868,56.318,37.5,,26.1886,25,,,,,,
,1,16,78.8214,39.1774,37.3975,16,1,16,25.3958,16,26.9768,,52.6804,26.5894,7.72E-07,78.8667,57.1979,37.5,,26.1863,25,,,,,,
,1,17,78.8288,39.0797,37.237,17,1,17,25.3958,17,26.8063,,52.6773,26.8834,-4.86E-07,78.8688,57.7852,37.5,,26.1915,25,,,,,,
,1,18,78.805,39.7877,37.4882,18,1,18,25.3958,18,27.0028,,52.676,27.4684,-5.59E-07,78.8665,58.9565,37.5,,26.1905,25,,,,,,
,1,19,78.8062,40.0709,37.6314,19,1,19,25.3958,19,27.0179,,52.6769,27.7602,4.53E-07,78.8672,60.1238,37.5,,26.1903,,,,,,,
,1,20,78.8235,40.2056,37.4055,20,1,20,25.3958,20,27.0917,,52.6756,28.0524,4.38E-07,78.8671,60.7171,37.5,,26.1915,,,,,,,
,1,21,78.8161,40.7067,37.667,21,1,21,25.3958,21,26.9131,,52.675,28.344,-7.38E-07,78.8682,61.5976,37.5,,26.1932,,,,,,,
,1,22,78.7856,40.7555,37.7316,22,1,22,25.3958,22,27.0509,,52.3901,28.6367,4.15E-07,78.8666,62.4412,37.5,,26.4765,,,,,,,
,1,23,78.7873,41.103,37.5236,23,1,23,25.3958,23,27.1167,,52.6752,28.9263,4.82E-07,78.8686,63.6075,37.5,,26.1934,,,,,,,
,1,24,78.8391,41.3995,37.6775,24,1,24,25.3958,24,27.1175,,52.6763,29.2181,4.69E-07,78.8672,64.2383,37.5,,26.1909,,,,,,,
,1,25,78.8403,41.5502,37.8561,25,1,25,25.3958,25,27.0217,,52.3894,29.5118,-1.40E-07,78.8687,64.8238,37.5,,26.4793,,,,,,,
,1,26,78.841,42.1315,37.5666,26,1,26,25.3958,26,27.1524,,52.3865,29.8043,7.59E-07,78.8692,65.4096,37.5,,26.4827,,,,,,,
,1,27,78.7454,42.5343,37.9572,27,1,27,25.3958,27,27.2999,,52.382,30.132,-2.87E-07,78.869,66.5841,37.5,,26.487,,,,,,,
,1,28,78.8522,42.6097,37.6737,28,1,28,25.3958,28,27.2483,,52.3859,30.3883,7.77E-07,78.8682,67.4636,37.5,,26.4823,,,,,,,
,1,29,78.8628,42.9968,37.587,29,1,29,25.3958,29,27.1731,,52.3845,30.6799,5.77E-08,78.868,68.0496,37.5,,26.4835,,,,,,,
